Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV026,7/12/2018 8:10,7/12/2018 10:50,33.068,0.511,2.156,2.667,99,55,44,72.675,76.64,,
EV026,7/12/2018 5:28,7/12/2018 7:57,36.829,0.572,1.906,2.478,96.5,44.5,52,73.226,66.2,,
EV026,7/11/2018 16:28,7/11/2018 19:23,33.102,0.864,2.056,2.919,80,99,-19,72.71,92.84,,
EV026,7/10/2018 10:11,7/10/2018 16:02,63.317,1.767,4.089,5.856,98.5,77,21.5,132.182,96.08,,
EV026,7/10/2018 8:13,7/10/2018 9:59,21.888,0.453,1.314,1.767,98,73.5,24.5,47.853,82.4,,
EV026,7/10/2018 5:25,7/10/2018 7:56,36.582,0.706,1.808,2.514,85.5,77.5,8,73.644,73.4,,
EV026,7/2/2018 17:16,7/2/2018 18:16,14.175,0.231,0.756,0.986,99,94,5,30.176,84.92,,
EV026,7/2/2018 15:11,7/2/2018 17:02,23.207,0.431,1.417,1.847,99.5,65.5,34,51.611,89.6,,
EV026,7/2/2018 10:35,7/2/2018 15:00,51.996,1.242,3.164,4.406,85,65.5,19.5,111.11,86.72,,
EV026,7/2/2018 8:09,7/2/2018 10:23,28.858,0.578,1.661,2.239,100,87,13,56.441,69.8,,
EV026,7/2/2018 5:39,7/2/2018 7:56,30.871,0.583,1.708,2.292,86,72,14,59.76,61.88,,
EV026,6/29/2018 8:07,6/29/2018 16:48,100.689,2.522,6.169,8.692,99.5,76.5,23,210.566,85.28,,
EV026,6/29/2018 5:40,6/29/2018 7:56,30.935,0.461,1.794,2.256,84.5,72.5,12,59.02,63.68,,
EV026,6/27/2018 17:17,6/27/2018 18:32,14.398,0.394,0.85,1.244,99,94,5,30.583,82.76,,
EV026,6/27/2018 15:09,6/27/2018 17:07,23.301,0.503,1.456,1.958,100,63.5,36.5,49.19,96.44,,
EV026,6/27/2018 14:11,6/27/2018 14:58,11.581,0.103,0.681,0.783,99,62.5,36.5,26.509,94.28,,
EV026,6/27/2018 12:33,6/27/2018 13:59,17.353,0.389,1.044,1.433,83,67,16,36.76,92.48,,
EV026,6/27/2018 10:09,6/27/2018 12:22,28.59,0.55,1.661,2.211,100,85.5,14.5,54.852,84.56,,
EV026,6/27/2018 7:08,6/27/2018 9:57,34.652,0.736,2.086,2.822,100,72.5,27.5,68.918,68.72,,
EV026,6/27/2018 5:39,6/27/2018 6:55,19.318,0.172,1.086,1.258,81.5,57,24.5,38.755,58.64,,
EV026,6/22/2018 14:10,6/22/2018 19:07,54.581,1.494,3.461,4.956,99,94.5,4.5,112.672,100.76,,
EV026,6/22/2018 9:19,6/22/2018 13:59,54.431,1.164,3.506,4.669,99,76,23,119.589,91.4,,
EV026,6/22/2018 5:25,6/22/2018 9:07,47.359,0.972,2.731,3.703,90.5,65,25.5,96.581,69.8,,
EV026,6/21/2018 13:11,6/21/2018 18:52,65.43,1.392,4.3,5.692,99,93,6,136.844,91.04,,
EV026,6/21/2018 10:12,6/21/2018 13:00,32.702,0.664,2.128,2.792,98.5,71.5,27,67.682,83.48,,
EV026,6/21/2018 9:10,6/21/2018 9:57,10.833,0.108,0.681,0.789,99.5,73.5,26,22.785,74.12,,
EV026,6/21/2018 8:06,6/21/2018 8:54,10.832,0.089,0.706,0.794,100,77,23,23.019,68.36,,
EV026,6/21/2018 5:23,6/21/2018 7:55,34.031,0.619,1.911,2.531,82,64.5,17.5,74.939,57.56,,
EV026,6/15/2018 17:12,6/15/2018 18:13,14.151,0.228,0.792,1.019,99,93,6,29.291,82.4,,
EV026,6/15/2018 5:38,6/15/2018 17:01,135.214,3.261,8.119,11.381,81,66.5,14.5,276.955,71.96,,
EV026,6/13/2018 8:44,6/13/2018 18:53,114.771,2.681,7.458,10.139,87,92.5,-5.5,234.483,87.08,,
EV026,6/13/2018 6:21,6/13/2018 8:33,26.797,0.478,1.711,2.189,100,89,11,49.975,71.24,,
EV026,6/13/2018 5:30,6/13/2018 6:11,14.796,0.108,0.583,0.692,88.5,54.5,34,26.301,63.32,,
EV026,6/8/2018 13:16,6/8/2018 19:27,66.214,1.703,4.469,6.172,99.5,65,34.5,139.988,81.32,,
EV026,6/8/2018 11:11,6/8/2018 13:05,21.803,0.447,1.45,1.897,98.5,56.5,42,50.128,85.28,,
EV026,6/8/2018 9:08,6/8/2018 10:54,21.781,0.397,1.369,1.767,100,46,54,46.969,77.36,,
EV026,6/8/2018 8:07,6/8/2018 8:55,10.916,0.158,0.653,0.811,100,78,22,22.415,69.44,,
EV026,6/8/2018 5:28,6/8/2018 7:56,36.59,0.608,1.867,2.475,95,62.5,32.5,72.879,58.64,,
EV026,6/7/2018 17:16,6/7/2018 18:39,14.466,0.489,0.889,1.378,98.5,99,-0.5,32.643,80.6,,
EV026,6/7/2018 9:33,6/7/2018 17:01,86.698,2.131,5.347,7.478,57.5,71.5,-14,185.013,82.76,,
EV026,6/7/2018 5:36,6/7/2018 9:21,52.165,1.031,2.728,3.758,89,57,32,109.202,62.24,,
EV026,5/18/2018 17:11,5/18/2018 18:12,13.105,0.319,0.7,1.019,99,92.5,6.5,29.576,83.48,,
EV026,5/18/2018 10:32,5/18/2018 15:55,57.865,1.939,3.444,5.383,86,65.5,20.5,132.992,84.2,,
EV026,5/18/2018 7:40,5/18/2018 10:20,30.653,0.811,1.853,2.664,80.5,87.5,-7,62.843,66.2,,
EV026,5/18/2018 5:37,5/18/2018 6:54,17.939,0.267,1.017,1.283,88,64,24,36.303,55.4,,
EV026,5/18/2018 17:12,5/15/2018 18:56,21.721,0.517,1.222,1.739,98.5,93,5.5,44.657,71.24,,
EV026,5/18/2018 11:40,5/15/2018 16:55,59.417,1.394,3.864,5.258,86,66.5,19.5,138.412,74.48,,
EV026,5/18/2018 5:27,5/15/2018 10:38,60.7,1.503,3.675,5.178,90.5,83.5,7,129.084,59,,
EV026,5/11/2018 17:13,5/11/2018 18:16,14.153,0.261,0.789,1.05,98.5,93,5.5,33.159,83.48,,
EV026,5/11/2018 13:03,5/11/2018 16:29,34.649,1.319,2.114,3.433,99.5,85.5,14,77.644,84.56,,
EV026,5/11/2018 10:35,5/11/2018 12:22,20.302,0.503,1.278,1.781,84,88,-4,39.902,78.08,,
EV026,5/11/2018 7:05,5/11/2018 10:20,38.668,0.956,2.297,3.253,100,88,12,77.694,67.28,,
EV026,5/11/2018 5:38,5/11/2018 6:55,19.279,0.231,1.053,1.283,75,72,3,41.648,56.48,,
EV026,5/7/2018 17:11,5/7/2018 18:12,14.172,0.256,0.758,1.014,100,92.5,7.5,34.123,87.8,,
EV026,5/7/2018 16:05,5/7/2018 17:00,11.715,0.194,0.733,0.928,99.5,56,43.5,28.07,89.96,,
EV026,5/7/2018 5:37,5/7/2018 15:54,115.391,3.361,6.933,10.294,85.5,52,33.5,256.697,69.44,,
EV026,4/30/2018 14:20,4/30/2018 18:10,39.57,1.45,2.386,3.836,87.5,99.5,-12,91.636,71.24,,
EV026,4/30/2018 11:09,4/30/2018 14:05,31.557,0.997,1.925,2.922,100,94.5,5.5,69.116,73.04,,
EV026,4/30/2018 7:09,4/30/2018 10:57,44.757,1.069,2.736,3.806,100,74.5,25.5,93.382,59,,
EV026,4/30/2018 5:37,4/30/2018 6:58,19.458,0.222,1.128,1.35,88.5,61.5,27,40.072,49.28,,
EV026,4/26/2018 17:13,4/26/2018 18:08,10.783,0.306,0.608,0.914,100,99.5,0.5,24.058,75.56,,
EV026,4/26/2018 5:48,4/26/2018 17:01,130.416,3.4,7.825,11.225,90,58,32,288.94,63.32,,
EV026,4/25/2018 18:12,4/25/2018 19:10,11.011,0.372,0.592,0.964,100,92.5,7.5,20.458,73.04,,
EV026,4/25/2018 16:20,4/25/2018 18:01,19.327,0.525,1.161,1.686,90.5,58,32.5,46.427,81.32,,
EV026,4/25/2018 10:27,4/25/2018 16:05,53.33,2.167,3.469,5.636,88,57.5,30.5,130.468,80.96,,
EV026,4/25/2018 5:18,4/25/2018 9:50,54.707,1.383,3.139,4.522,97.5,78.5,19,122.667,59.36,,
EV026,4/24/2018 17:11,4/24/2018 18:10,13.617,0.197,0.778,0.975,99,64.5,34.5,33.168,83.84,,
EV026,4/24/2018 16:05,4/24/2018 17:00,11.391,0.2,0.714,0.914,99,62,37,27.205,87.8,,
EV026,4/24/2018 14:31,4/24/2018 15:54,17.271,0.347,1.042,1.389,87.5,60,27.5,37.633,89.96,,
EV026,4/24/2018 13:31,4/24/2018 14:20,10.907,0.175,0.636,0.811,85,90.5,-5.5,20.848,87.08,,
EV026,4/24/2018 11:31,4/24/2018 13:20,21.911,0.567,1.242,1.808,85.5,87.5,-2,45.537,87.08,,
EV026,4/24/2018 10:02,4/24/2018 11:20,15.444,0.419,0.883,1.303,99.5,86.5,13,32.81,77,,
EV026,4/24/2018 8:15,4/24/2018 9:50,21.047,0.406,1.175,1.581,72.5,61,11.5,45.775,66.2,,
