Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV027,2/18/2018 14:05,2/18/2018 15:52,28.257,0.31,1.47,1.781,100,55.5,44.5,59.917,63.68,,
EV027,2/18/2018 12:03,2/18/2018 13:54,28.26,0.36,1.51,1.864,98.5,56,42.5,59.327,64.76,,
EV027,2/18/2018 9:02,2/18/2018 11:52,42.103,0.43,2.39,2.828,94,55,39,81.826,61.88,,
EV027,2/18/2018 8:07,2/18/2018 8:51,13.347,0.15,0.58,0.731,85.5,38.5,47,24.772,53.96,,
EV027,2/12/2018 12:55,2/12/2018 18:04,73.598,1.13,4.02,5.153,99.5,92,7.5,157.18,60.8,,
EV027,2/12/2018 11:56,2/12/2018 12:44,14.137,0.08,0.73,0.808,99.5,67.5,32,29.526,62.6,,
EV027,2/12/2018 7:55,2/12/2018 11:44,56.672,0.86,2.96,3.817,97,57.5,39.5,122.851,53.6,,
EV027,2/12/2018 5:46,2/12/2018 7:45,30.876,0.43,1.55,1.972,86,45,41,70.518,44.96,,
EV027,2/9/2018 5:40,2/9/2018 7:00,21.854,0.27,1.05,1.322,85.5,49.5,36,46.806,44.96,,
EV027,2/8/2018 10:41,2/8/2018 18:50,116.53,1.9,6.26,8.156,99,91,8,250.005,70.16,,
EV027,2/8/2018 8:39,2/8/2018 10:26,28.324,0.3,1.48,1.783,100,55,45,60.517,59,,
EV027,2/8/2018 5:57,2/8/2018 8:25,38.272,0.51,1.96,2.469,89.5,54,35.5,79.599,47.84,,
EV027,2/6/2018 11:15,2/6/2018 19:36,115.672,1.81,6.53,8.339,98,92,6,243.865,65.84,,
EV027,2/6/2018 5:40,2/6/2018 11:04,80.169,1.29,4.11,5.4,80,53.5,26.5,187.434,56.12,,
EV027,2/5/2018 5:49,2/5/2018 16:07,149.06,2.29,8.01,10.297,88,56,32,294.5,59.72,,
EV027,2/4/2018 17:33,2/4/2018 19:09,28.464,0.29,1.31,1.594,99,63,36,52.378,64.4,,
EV027,2/4/2018 14:33,2/4/2018 17:20,42.016,0.64,2.14,2.783,100,76,24,85.283,72.32,,
EV027,2/4/2018 12:38,2/4/2018 14:21,26.607,0.32,1.4,1.719,100,60.5,39.5,57.956,73.04,,
EV027,2/4/2018 11:30,2/4/2018 12:27,14.002,0.23,0.73,0.956,100,56.5,43.5,30.138,66.92,,
EV027,2/4/2018 8:35,2/4/2018 10:23,28.047,0.38,1.43,1.8,99.5,67.5,32,53.714,56.84,,
EV027,2/4/2018 7:45,2/4/2018 8:22,13.436,0.04,0.58,0.622,88.5,45,43.5,25.682,50.36,,
EV027,2/3/2018 12:07,2/3/2018 19:26,101.406,1.59,5.74,7.325,100,93,7,200.754,69.08,,
EV027,2/3/2018 10:07,2/3/2018 11:56,28.185,0.29,1.51,1.806,100,72,28,51.425,67.64,,
EV027,2/3/2018 9:09,2/3/2018 9:56,14.101,0.05,0.74,0.794,100,64.5,35.5,26.02,55.4,,
EV027,2/3/2018 8:13,2/3/2018 8:53,13.412,0.1,0.58,0.675,89,45,44,24.996,49.64,,
EV027,2/1/2018 5:50,2/1/2018 18:51,181.573,3.4,9.62,13.017,92.5,91,1.5,400.838,52.88,,
EV027,1/31/2018 16:51,1/31/2018 18:08,16.1,0.32,0.96,1.275,56.5,93.5,-37,33.848,60.8,,
EV027,1/31/2018 5:52,1/31/2018 15:23,136.82,2.4,7.13,9.522,87,54.5,32.5,299.554,54.32,,
EV027,1/30/2018 11:54,1/30/2018 18:10,87.464,1.39,4.87,6.261,100,92.5,7.5,185.498,59.36,,
EV027,1/30/2018 9:59,1/30/2018 11:43,28.126,0.24,1.49,1.733,99,54.5,44.5,59.19,53.96,,
EV027,1/30/2018 7:55,1/30/2018 9:44,28.134,0.26,1.56,1.825,98.5,32.5,66,62.12,46.4,,
EV027,1/30/2018 5:47,1/30/2018 7:42,30.593,0.32,1.6,1.919,91,40,51,72.356,42.44,,
EV027,1/28/2018 14:02,1/28/2018 19:12,73.518,1.34,3.82,5.161,100,93,7,153.888,61.88,,
EV027,1/28/2018 12:07,1/28/2018 13:51,28.257,0.28,1.46,1.742,100,55,45,58.421,65.84,,
EV027,1/28/2018 11:07,1/28/2018 11:55,14.06,0.03,0.76,0.792,100,65,35,25.189,61.52,,
EV027,1/28/2018 10:10,1/28/2018 10:56,14.069,0.03,0.74,0.767,100,76.5,23.5,25.896,57.2,,
EV027,1/28/2018 9:09,1/28/2018 9:55,14.104,0.04,0.73,0.772,100,55.5,44.5,27.404,47.84,,
EV027,1/28/2018 8:11,1/28/2018 8:52,13.451,0.12,0.57,0.686,84,33,51,31.634,41.36,,
EV027,1/18/2018 8:52,1/18/2018 17:49,122.664,2.13,6.81,8.942,99,54.5,44.5,262.28,56.12,,
EV027,1/18/2018 7:55,1/18/2018 8:41,13.616,0.09,0.68,0.767,100,55,45,27.321,53.24,,
EV027,1/18/2018 5:44,1/18/2018 7:42,29.541,0.42,1.54,1.956,76,46.5,29.5,64.705,51.44,,
EV027,1/12/2018 10:21,1/12/2018 17:48,102.84,1.74,5.72,7.453,57.5,23.5,34,213.02,51.8,,
EV027,1/12/2018 7:58,1/12/2018 10:09,34.068,0.45,1.74,2.192,100,56.5,43.5,74.126,48.2,,
EV027,1/12/2018 5:47,1/12/2018 7:43,29.951,0.38,1.55,1.936,91,44,47,62.699,44.6,,
EV027,1/11/2018 16:55,1/11/2018 18:04,16.337,0.28,0.88,1.158,98.5,92,6.5,32.374,58.64,,
EV027,1/11/2018 12:04,1/11/2018 16:42,68.488,0.89,3.74,4.631,98.5,55.5,43,139.757,62.6,,
EV027,1/11/2018 7:56,1/11/2018 11:43,55.047,0.99,2.79,3.778,98.5,65,33.5,124.036,54.68,,
EV027,1/11/2018 7:00,1/11/2018 7:45,13.729,0.09,0.68,0.764,98,64,34,30.407,47.84,,
EV027,1/11/2018 5:46,1/11/2018 6:48,16.272,0.21,0.83,1.042,88.5,54,34.5,35.822,48.2,,
EV027,1/10/2018 16:35,1/10/2018 18:50,29.893,0.6,1.66,2.258,98.5,92,6.5,65.849,56.48,,
EV027,1/10/2018 14:34,1/10/2018 16:23,27.321,0.27,1.55,1.819,97.5,65.5,32,58.042,57.92,,
EV027,1/10/2018 5:42,1/10/2018 14:23,119.49,2.48,6.21,8.683,90,60,30,263.904,52.16,,
EV027,1/9/2018 17:08,1/9/2018 18:48,23.401,0.38,1.3,1.675,85,91,-6,49.658,53.96,,
EV027,1/9/2018 14:32,1/9/2018 16:57,33.998,0.49,1.92,2.411,98.5,86,12.5,76.747,54.68,,
EV027,1/9/2018 10:58,1/9/2018 14:20,48.705,0.79,2.57,3.367,77,54,23,110.819,55.76,,
EV027,1/9/2018 5:54,1/9/2018 10:48,70.245,1.38,3.52,4.897,87,77.5,9.5,154.276,56.12,,
EV027,1/7/2018 18:04,1/7/2018 19:07,15.96,0.15,0.91,1.058,99,92,7,28.474,51.08,,
EV027,1/7/2018 16:04,1/7/2018 17:51,26.875,0.27,1.52,1.786,100,54,46,51.17,52.88,,
EV027,1/7/2018 14:02,1/7/2018 15:48,27.301,0.47,1.3,1.772,100,55.5,44.5,62.214,55.04,,
EV027,1/7/2018 12:04,1/7/2018 13:50,27.184,0.4,1.38,1.778,100,50.5,49.5,53.946,53.96,,
EV027,1/7/2018 11:05,1/7/2018 11:51,13.595,0.06,0.7,0.764,99,60,39,25.211,51.44,,
EV027,1/7/2018 10:10,1/7/2018 10:53,13.571,0.02,0.71,0.728,100,75.5,24.5,25.166,50.72,,
EV027,1/7/2018 9:08,1/7/2018 9:52,13.536,0.06,0.67,0.731,100,55,45,23.92,48.92,,
EV027,1/7/2018 8:09,1/7/2018 8:53,13.511,0.14,0.59,0.731,86.5,36,50.5,30.74,46.4,,
EV027,1/5/2018 18:30,1/5/2018 19:45,16.428,0.42,0.84,1.261,97.5,96.5,1,36.302,59,,
EV027,1/5/2018 14:15,1/5/2018 18:12,54.437,1.06,2.9,3.953,98.5,55.5,43,119.563,62.96,,
EV027,1/5/2018 10:14,1/5/2018 14:03,54.796,0.96,2.86,3.819,99.5,72.5,27,112.784,64.4,,
EV027,1/5/2018 5:41,1/5/2018 10:02,63.67,1.1,3.26,4.364,86.5,54,32.5,136.196,55.76,,
EV027,1/4/2018 5:50,1/4/2018 14:44,121.642,2.62,6.28,8.9,85,93.5,-8.5,266.243,59,,
EV027,1/3/2018 18:29,1/3/2018 19:31,16.215,0.28,0.76,1.039,96,90,6,35.868,53.96,,
EV027,1/3/2018 11:14,1/3/2018 18:11,95.997,1.86,5.09,6.947,96.5,37.5,59,218.813,56.84,,
EV027,1/3/2018 10:17,1/3/2018 11:03,13.677,0.09,0.68,0.769,96,54.5,41.5,29.797,57.56,,
EV027,1/3/2018 9:15,1/3/2018 10:03,13.68,0.07,0.72,0.789,96.5,55,41.5,27.376,53.96,,
EV027,1/3/2018 5:41,1/3/2018 9:02,50.115,0.78,2.59,3.361,73.5,52.5,21,111.811,47.12,,
EV027,1/2/2018 11:31,1/2/2018 14:39,43.628,0.86,2.28,3.133,98.5,94,4.5,94.712,60.8,,
EV027,1/2/2018 8:30,1/2/2018 11:20,41.119,0.66,2.16,2.819,100,55,45,88.225,52.16,,
EV027,1/2/2018 7:32,1/2/2018 8:20,13.597,0.1,0.69,0.789,97.5,59.5,38,27.9,45.32,,
EV027,1/2/2018 5:50,1/2/2018 7:21,23.231,0.36,1.16,1.514,87.5,54,33.5,47.396,43.52,,
