Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV026,CH007-CH008,,,9/27/2017 11:07,9/27/2017 11:12,200.262,232.26,31.062,56,96.5
EV026,CH007-CH008,,,9/27/2017 12:15,9/27/2017 12:23,316.127,350.68,27.352,61.5,100
EV026,CH007-CH008,,,9/27/2017 13:10,9/27/2017 13:16,286.126,374.96,26.573,62.5,100
EV026,CH007-CH008,,,9/27/2017 14:20,9/27/2017 14:29,190.045,341.68,24.348,63,99
EV026,CH007-CH008,,,9/27/2017 15:26,9/27/2017 15:32,212.201,349,24.221,65,100
EV026,CH007-CH008,,,9/27/2017 16:25,9/27/2017 16:33,296.073,372.9,25.965,60,99
EV026,CH007-CH008,,,9/27/2017 17:20,9/27/2017 17:29,316.279,352.4,21.011,71.5,98.5
EV026,CH007-CH008,,,9/27/2017 18:20,9/27/2017 18:25,271.25,344.06,24.54,65,99
EV026,CH007-CH008,,,9/27/2017 19:20,9/27/2017 19:27,272.263,339.72,22.83,67,100
EV026,CH007-CH008,,,9/28/2017 8:08,9/28/2017 8:12,305.421,362.52,21.17,72,100
EV026,CH007-CH008,,,9/28/2017 9:22,9/28/2017 9:30,270.938,357.18,20.652,72.5,100
EV026,CH007-CH008,,,9/28/2017 10:14,9/28/2017 10:19,301.154,355.46,14.984,79.5,100
EV026,CH007-CH008,,,9/28/2017 11:13,9/28/2017 11:20,263.774,344.1,28.675,60.5,100
EV026,CH007-CH008,,,9/28/2017 12:07,9/28/2017 12:14,307.465,344.34,36.725,43.5,92
EV026,CH007-CH008,,,9/28/2017 13:03,9/28/2017 13:09,218.787,341.86,24.624,64.5,100
EV026,CH007-CH008,,,9/28/2017 13:56,9/28/2017 14:02,251.646,364.96,25.584,63.5,100
EV026,CH007-CH008,,,9/28/2017 15:01,9/28/2017 15:07,323.134,349.5,26.751,59,95
EV026,CH007-CH008,,,9/28/2017 16:00,9/28/2017 16:08,324.33,354.36,25.136,64,100
EV026,CH007-CH008,,,9/28/2017 17:04,9/28/2017 17:09,318.768,351.96,25.06,61,95.5
EV026,CH007-CH008,,,9/28/2017 18:01,9/28/2017 18:08,317.548,363.94,23.571,65,98
EV026,CH007-CH008,,,9/28/2017 19:02,9/28/2017 19:06,28.668,163.02,25.302,62.5,98
EV026,CH007-CH008,,,12/28/2017 0:00,12/28/2017 0:16,266.437,343.28,21.671,71.5,100
EV026,CH007-CH008,,,12/28/2017 6:07,12/28/2017 6:13,318.624,354.04,23.905,65.5,99
EV026,CH007-CH008,,,12/28/2017 6:54,12/28/2017 7:02,227.876,347.42,21.229,71.5,100
EV026,CH007-CH008,,,12/28/2017 8:02,12/28/2017 8:06,257.005,338.76,19.425,74,100
EV026,CH007-CH008,,,12/28/2017 8:52,12/28/2017 9:05,273.598,317.82,33.319,56,100
EV026,CH007-CH008,,,12/28/2017 9:51,12/28/2017 9:58,246.24,329.68,31.916,42,84.5
EV026,CH007-CH008,,,12/28/2017 10:47,12/28/2017 10:53,253.671,362.88,28.241,55,96
EV026,CH007-CH008,,,12/28/2017 11:50,12/28/2017 11:55,327.249,364.92,24.324,59.5,97.5
EV026,CH007-CH008,,,12/28/2017 12:47,12/28/2017 12:52,268.918,354.4,21.058,72,99
EV026,CH007-CH008,,,12/28/2017 13:57,12/28/2017 14:00,298.593,324.22,30.966,57.5,99.5
EV026,CH007-CH008,,,12/28/2017 14:48,12/28/2017 14:56,216.303,365.12,20.995,72,99.5
EV026,CH007-CH008,,,12/28/2017 16:00,12/28/2017 16:02,241.823,361.94,30.9,58,100
EV026,CH007-CH008,,,12/28/2017 16:53,12/28/2017 17:03,318.288,339.34,22.33,60,90.5
EV026,CH007-CH008,,,12/28/2017 18:11,12/28/2017 18:13,250.189,340.46,19.967,73.5,100
EV026,CH007-CH008,,,12/28/2017 19:02,12/28/2017 19:10,225.126,342.06,23.93,65.5,100
EV026,CH007-CH008,,,12/28/2017 20:30,12/28/2017 20:37,304.396,359.48,22.835,67,100
EV026,CH007-CH008,,,12/29/2017 7:05,12/29/2017 7:15,305.4,354.64,16.304,78,100
EV026,CH007-CH008,,,12/29/2017 7:51,12/29/2017 8:03,339.718,370.62,32.5,56.5,100
EV026,CH007-CH008,,,12/29/2017 8:55,12/29/2017 9:02,257.557,303.04,24.734,51,84
EV026,CH007-CH008,,,12/29/2017 9:44,12/29/2017 9:55,306.96,353.66,27.991,61,100
EV026,CH007-CH008,,,12/29/2017 10:51,12/29/2017 10:59,272.119,348.9,24.965,63.5,98.5
EV026,CH007-CH008,,,12/29/2017 11:44,12/29/2017 11:49,332.816,364.24,28.07,60,99
EV026,CH007-CH008,,,12/29/2017 12:55,12/29/2017 13:03,234.956,346.32,24.253,65,99
EV026,CH007-CH008,,,12/29/2017 13:52,12/29/2017 13:58,316.888,356.86,25.322,63.5,99
EV026,CH007-CH008,,,12/29/2017 14:55,12/29/2017 14:59,-7.465,22.88,33.56,55,100
EV026,CH007-CH008,,,12/29/2017 15:46,12/29/2017 15:54,314.72,352.52,19.261,57,83
EV026,CH007-CH008,,,12/29/2017 16:59,12/29/2017 17:04,293.397,348.56,21.174,72,100
EV026,CH007-CH008,,,12/29/2017 18:00,12/29/2017 18:06,329.817,359.26,25.042,64.5,100
EV026,CH007-CH008,,,12/29/2017 18:59,12/29/2017 19:04,271.879,358.1,18.964,74.5,100
EV026,CH007-CH008,,,1/2/2018 7:46,1/2/2018 8:05,326.874,356.7,29.874,59.5,100
EV026,CH007-CH008,,,1/2/2018 8:54,1/2/2018 8:55,307.923,353.08,21.542,58.5,87.5
EV026,CH007-CH008,,,1/2/2018 10:00,1/2/2018 10:00,324.203,368.94,39.77,40,92.5
EV026,CH007-CH008,,,1/2/2018 10:48,1/2/2018 10:53,312.027,343.36,28.891,56.5,94.5
EV026,CH007-CH008,,,1/2/2018 11:52,1/2/2018 11:58,330.394,354.6,24.49,59,96
EV026,CH007-CH008,,,1/2/2018 12:47,1/2/2018 12:52,295.684,346.1,18.895,75,99.5
EV026,CH007-CH008,,,1/2/2018 13:53,1/2/2018 13:57,231.396,288.6,17.62,75,98.5
EV026,CH007-CH008,,,1/2/2018 16:54,1/2/2018 17:02,230.4,357.44,18.719,71,97.5
EV026,CH007-CH008,,,1/2/2018 18:11,1/2/2018 18:12,292.262,359.94,28.301,60,100
EV026,CH007-CH008,,,1/2/2018 19:03,1/2/2018 19:10,294.437,351.46,26.116,62.5,100
EV026,CH007-CH008,,,1/2/2018 20:29,1/2/2018 20:38,252.359,344.6,24.206,65,100
EV026,CH007-CH008,,,1/3/2018 6:57,1/3/2018 7:00,325.25,358.5,26.534,62.5,100
EV026,CH007-CH008,,,1/3/2018 7:55,1/3/2018 8:00,310.548,345.42,24.604,64,98.5
EV026,CH007-CH008,,,1/3/2018 8:55,1/3/2018 9:01,315.089,350.74,22.565,67,99
EV026,CH007-CH008,,,1/3/2018 9:50,1/3/2018 9:51,153.691,260.1,24.124,65.5,100
EV026,CH007-CH008,,,1/3/2018 10:54,1/3/2018 11:01,286.102,352.86,20.803,72.5,100
EV026,CH007-CH008,,,1/3/2018 11:51,1/3/2018 11:56,231.434,351.88,19.89,73.5,100
EV026,CH007-CH008,,,1/3/2018 12:56,1/3/2018 13:00,310.82,348.72,19.888,73.5,100
EV026,CH007-CH008,,,1/3/2018 13:45,1/3/2018 13:51,249.053,372.9,17.945,76,100
EV026,CH007-CH008,,,1/3/2018 14:55,1/3/2018 15:00,309.339,353.54,35.88,51.5,100
EV026,CH007-CH008,,,1/3/2018 15:54,1/3/2018 16:00,293.044,347.02,17.771,76,100
EV026,CH007-CH008,,,1/3/2018 17:06,1/3/2018 17:09,315.467,337.32,21.79,57.5,87.5
EV026,CH007-CH008,,,1/3/2018 17:58,1/3/2018 18:05,243.032,363.34,22.388,67.5,100
EV026,CH007-CH008,,,1/3/2018 19:00,1/3/2018 19:05,236.181,364.46,23.785,65.5,100
EV026,CH007-CH008,,,1/4/2018 7:45,1/4/2018 7:46,304.993,354.54,28.289,57,95
EV026,CH007-CH008,,,1/4/2018 8:00,1/4/2018 8:08,321.72,360.64,22.725,60,96
EV026,CH007-CH008,,,1/4/2018 8:58,1/4/2018 9:09,254.077,364.48,22.709,67,100
EV026,CH007-CH008,,,1/4/2018 10:48,1/4/2018 10:57,307.481,347.46,19.936,73.5,100
EV026,CH007-CH008,,,1/4/2018 11:53,1/4/2018 11:55,302.879,369.26,26.239,63,100
EV026,CH007-CH008,,,1/4/2018 12:57,1/4/2018 13:03,304.979,351.18,21.654,71,100
EV026,CH007-CH008,,,1/4/2018 15:07,1/4/2018 15:15,312.435,371.12,22.783,67,100
EV026,CH007-CH008,,,1/4/2018 16:58,1/4/2018 17:09,326.795,358.7,20.541,72.5,100
EV026,CH007-CH008,,,1/4/2018 18:07,1/4/2018 18:11,304.665,369.94,24.832,63.5,97.5
EV026,CH007-CH008,,,1/5/2018 6:57,1/5/2018 7:06,306.448,354,35.089,52,98.5
EV026,CH007-CH008,,,1/5/2018 7:55,1/5/2018 8:05,268.154,369.46,25.171,64,100
EV026,CH007-CH008,,,1/5/2018 8:53,1/5/2018 8:55,323.092,356.86,33.724,55,100
EV026,CH007-CH008,,,1/5/2018 9:51,1/5/2018 10:00,290.995,347.7,24.648,64.5,100
EV026,CH007-CH008,,,1/5/2018 11:00,1/5/2018 11:03,306.085,335.76,20.71,72.5,100
EV026,CH007-CH008,,,1/5/2018 11:44,1/5/2018 11:50,324.999,366.4,29.055,59.5,100
EV026,CH007-CH008,,,1/5/2018 12:55,1/5/2018 12:58,304.754,349.06,20.69,72.5,100
EV026,CH007-CH008,,,1/5/2018 13:55,1/5/2018 13:56,315.32,348.84,32.067,57,100
EV026,CH007-CH008,,,1/5/2018 14:59,1/5/2018 15:03,138.781,344.12,14.717,67.5,92
EV026,CH007-CH008,,,1/5/2018 15:55,1/5/2018 16:01,255.087,345.02,24.048,65.5,100
EV026,CH007-CH008,,,1/5/2018 17:00,1/5/2018 17:03,290.565,355.7,19.305,74,100
EV026,CH007-CH008,,,1/5/2018 17:55,1/5/2018 18:00,266.002,360.9,27.442,62,100
EV026,CH007-CH008,,,1/5/2018 19:01,1/5/2018 19:05,289.902,345.2,25.668,56,89
EV026,CH007-CH008,,,1/8/2018 6:57,1/8/2018 7:06,266.083,339.18,24.896,53.5,86.5
EV026,CH007-CH008,,,1/8/2018 7:55,1/8/2018 8:00,294.026,345.8,29.394,59.5,99
EV026,CH007-CH008,,,1/8/2018 8:53,1/8/2018 9:00,292.006,343.54,34.502,53.5,99.5
EV026,CH007-CH008,,,1/8/2018 9:46,1/8/2018 9:56,276.444,344.02,11.476,65,82.5
EV026,CH007-CH008,,,1/8/2018 10:52,1/8/2018 10:55,331.212,358.94,27.752,61,100
EV026,CH007-CH008,,,1/8/2018 11:50,1/8/2018 11:51,258.033,366.82,21.527,71,100
EV026,CH007-CH008,,,1/8/2018 12:52,1/8/2018 13:00,317.694,362.6,19.313,74,99.5
EV026,CH007-CH008,,,1/8/2018 14:55,1/8/2018 15:00,228.256,367.36,27.548,61.5,100
EV026,CH007-CH008,,,1/8/2018 15:47,1/8/2018 15:55,243.159,339.32,36.524,51,99.5
EV026,CH007-CH008,,,1/8/2018 16:52,1/8/2018 17:00,248.81,362.64,25.857,63,100
EV026,CH007-CH008,,,1/8/2018 17:53,1/8/2018 18:00,246.751,298.5,24.834,64.5,100
